exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_0,4,"{'x': 2.22077497940328, 'y': 0.9989128498870394, 'z': 0.24601306467505113}",0.9104778141174007
EXP_0,5,"{'x': 2.3660174019097133, 'y': 1.0020783838764207, 'z': 0.35569899549514866}",1.062347824396511
EXP_0,12,"{'x': 1.610745764773151, 'y': 0.750829050688786, 'z': -0.019197785755849205}",0.2748158838204226
EXP_0,11,"{'x': 2.2145019869373934, 'y': 0.7659001236935861, 'z': 0.7406882604542046}",1.0629438131905187
EXP_0,5,"{'x': 1.6319386445841508, 'y': 0.8156214128781324, 'z': -0.3750050613444055}",0.5075686850072608
EXP_0,6,"{'x': 2.0569953050440746, 'y': 0.5788593300660235, 'z': 0.017924607785156966}",0.562845111909129
EXP_0,4,"{'x': 2.189504517405124, 'y': 0.4981460789237714, 'z': 0.2611274067600502}",0.7372835750238844
EXP_0,10,"{'x': 1.5312570181586378, 'y': 0.44030050264312004, 'z': -0.033143864059506714}",0.07509587205699128
EXP_0,4,"{'x': 2.219075842516952, 'y': 1.0844253685070178, 'z': 0.03027071886771782}",0.9271171770601601
EXP_0,18,"{'x': 1.8791292106291988, 'y': 0.9096622619981409, 'z': 0.04122014867488599}",0.559703796663914
EXP_0,23,"{'x': 2.1886258342134797, 'y': 0.8065912630067651, 'z': -0.009614696133538726}",0.7538339870289745
EXP_0,8,"{'x': 2.42440414079254, 'y': 0.9559081562867806, 'z': 0.6588814106392342}",1.2233190017325817
EXP_0,5,"{'x': 2.134519936156552, 'y': 0.8871605462100687, 'z': 0.3949718260580719}",0.841747640329333
EXP_0,4,"{'x': 2.298063619097303, 'y': 0.9136728343743044, 'z': 0.5361561293380469}",1.04671951352786
EXP_0,19,"{'x': 2.0074721183058593, 'y': 0.5800274375912506, 'z': 0.8895776201610406}",1.0272995716926976
EXP_0,4,"{'x': 2.303534453563187, 'y': 0.3719248663093649, 'z': 0.4995111826842207}",0.9547366705013484
EXP_0,4,"{'x': 1.934259956778867, 'y': 0.5071233332278617, 'z': 0.019088093710144024}",0.4347777708209102
EXP_0,4,"{'x': 2.445893660348018, 'y': 0.44342624559846877, 'z': -0.02337291073613423}",0.9478807572685501
EXP_0,8,"{'x': 2.39775999104678, 'y': 0.7103418933697543, 'z': 0.5820943221385191}",1.0904638187487012
EXP_0,20,"{'x': 2.600545075855299, 'y': 0.782907993897428, 'z': 0.36410180481698057}",1.1931896203034955
EXP_0,5,"{'x': 2.376690294783921, 'y': 0.95314628512172, 'z': -0.0422842330489682}",0.987771122274791
EXP_0,4,"{'x': 2.4886873093723496, 'y': 0.8373164610213871, 'z': 0.10496772549805575}",1.0499161776065746
EXP_0,5,"{'x': 1.696366875092215, 'y': 0.8379139715034182, 'z': -0.6431622085402117}",0.7526324534591902
EXP_0,9,"{'x': 2.1927851727745136, 'y': 0.5713179983885351, 'z': 0.8949640791820538}",1.1340549060781846
EXP_0,4,"{'x': 1.6652659245400516, 'y': 0.9466225377836355, 'z': -0.7869740865553315}",0.9198612123576034
EXP_0,4,"{'x': 2.126089706815945, 'y': 0.45343562399318266, 'z': -0.22447165342410158}",0.6667630913600423
EXP_0,5,"{'x': 2.152185332553244, 'y': 0.7677242052618161, 'z': 1.0494506129871657}",1.264309447880542
EXP_0,8,"{'x': 2.317797998990957, 'y': 0.8777589141122122, 'z': 0.9673621559388638}",1.3218897230858557
EXP_0,6,"{'x': 2.3718777258612915, 'y': 0.6330036807602327, 'z': 0.8292214007888457}",1.2105664996190835
