exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_35,151,"{'x': 6.417071197485793, 'y': 5.678009680774003, 'z': 0.7094406938028168}",0.7360738889540914,0.3891698472389655
EXP_35,4,"{'x': 6.231585023096413, 'y': 5.3619628969627025, 'z': 0.24841746153332728}",0.39087737207466977,0.3891698472389655
EXP_35,11,"{'x': 5.827282516211103, 'y': 5.387378351508468, 'z': 0.06876908847702042}",0.6855198684210397,0.3891698472389655
EXP_35,9,"{'x': 6.084959994169013, 'y': 5.450101726814179, 'z': 0.18252616424855692}",0.45609347726096683,0.3891698472389655
EXP_35,5,"{'x': 6.351241368358314, 'y': 5.81911100337212, 'z': 0.40494311178694914}",0.5365726977772906,0.3891698472389655
EXP_35,4,"{'x': 6.21414946554099, 'y': 5.625504129119916, 'z': 0.013156771923767092}",0.3125112797964256,0.3891698472389655
EXP_35,15,"{'x': 6.295036073726839, 'y': 5.455790917427466, 'z': -0.05018651993212705}",0.21563552583004506,0.3891698472389655
EXP_35,5,"{'x': 6.132257046043572, 'y': 5.511092679715154, 'z': -0.4075019046789066}",0.5489833786190618,0.3891698472389655
EXP_35,14,"{'x': 6.302274851401997, 'y': 5.485432851093797, 'z': 0.3849504180376718}",0.43303977877326705,0.3891698472389655
EXP_35,7,"{'x': 6.038509148535554, 'y': 5.251501564827785, 'z': 0.27684256745520164}",0.5927501497258352,0.3891698472389655
EXP_35,4,"{'x': 5.82940959518796, 'y': 5.61539957134488, 'z': 0.6722464428123893}",0.956490648150833,0.3891698472389655
EXP_35,4,"{'x': 6.5403848180198265, 'y': 5.606007487113193, 'z': 0.08574535668154722}",0.14217119961511182,0.3891698472389655
